"Landing.Site","Area.Fished..Eneo.la.uvuvi..","N","mean_cpue","sd","se"
"Kipini","",1,3.75,NA,NA
"Kipini","Bujra",4,15.25,0.125,0.0625
"Kipini","Funguni",2,18,12.7279220613579,9
"Kipini","Shekiko",5,27.297619047,2.36526978023047,1.05778080274426
"Kipini","Tenewi",7,37.375,1.47753794741732,0.558456851646724
"Kipini","Tumisi",1,0,NA,NA
"Kipini","Ziwayuu",19,115.312499997,2.81648460371186,0.646145882295695
"Ngomeni","Rasi ya  Ngome",48,192.583333331,4.45085554950036,0.642425662407043
"Shimoni","",1,1.1,NA,NA
"Shimoni","Chengai",1,1.6,NA,NA
"Shimoni","Funzi",7,61.583888889,7.34091639634697,2.77460559715008
"Shimoni","Jurumi",1,43.33333333,NA,NA
"Shimoni","Kanzeni",1,6.333333333,NA,NA
"Shimoni","Kitungamwe",1,3.555555556,NA,NA
"Shimoni","Mijira",1,7.6,NA,NA
"Shimoni","Mpunguti",9,16.38824964,3.52136607403853,1.17378869134618
"Shimoni","Msambweni",1,31,NA,NA
"Shimoni","Mwamba mkuu",1,5.3,NA,NA
"Shimoni","Mwipwa",1,3.5,NA,NA
"Shimoni","Nyuli",7,22.633333334,2.97265313595261,1.12355727596955
"Shimoni","Nyuma ya maji",1,21.7,NA,NA
"Shimoni","Shangai",1,0,NA,NA
"Shimoni","Waga",1,7,NA,NA
